5/28/2024 3:33 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: 823S 	-0.42000	
//QSpecEnd: 
220.0	-1.941
220.5	-1.772
221.0	-1.613
221.5	-1.468
222.0	-1.335
222.5	-1.211
223.0	-1.098
223.5	-0.993
224.0	-0.893
224.5	-0.801
225.0	-0.720
225.5	-0.652
226.0	-0.597
226.5	-0.553
227.0	-0.517
227.5	-0.487
228.0	-0.461
228.5	-0.437
229.0	-0.417
229.5	-0.398
230.0	-0.380
230.5	-0.361
231.0	-0.344
231.5	-0.326
232.0	-0.308
232.5	-0.289
233.0	-0.270
233.5	-0.251
234.0	-0.232
234.5	-0.211
235.0	-0.190
235.5	-0.170
236.0	-0.153
236.5	-0.139
237.0	-0.126
237.5	-0.112
238.0	-0.101
238.5	-0.090
239.0	-0.081
239.5	-0.073
240.0	-0.068
240.5	-0.061
241.0	-0.058
241.5	-0.054
242.0	-0.050
242.5	-0.048
243.0	-0.046
243.5	-0.043
244.0	-0.040
244.5	-0.036
245.0	-0.034
245.5	-0.031
246.0	-0.030
246.5	-0.028
247.0	-0.027
247.5	-0.025
248.0	-0.024
248.5	-0.022
249.0	-0.021
249.5	-0.020
250.0	-0.020
250.5	-0.019
251.0	-0.019
251.5	-0.018
252.0	-0.018
252.5	-0.018
253.0	-0.019
253.5	-0.020
254.0	-0.020
254.5	-0.021
255.0	-0.022
255.5	-0.021
256.0	-0.023
256.5	-0.021
257.0	-0.021
257.5	-0.020
258.0	-0.017
258.5	-0.016
259.0	-0.017
259.5	-0.018
260.0	-0.019
260.5	-0.019
261.0	-0.019
261.5	-0.018
262.0	-0.017
262.5	-0.017
263.0	-0.017
263.5	-0.016
264.0	-0.018
264.5	-0.018
265.0	-0.017
265.5	-0.018
266.0	-0.018
266.5	-0.017
267.0	-0.016
267.5	-0.014
268.0	-0.013
268.5	-0.015
269.0	-0.015
269.5	-0.015
270.0	-0.015
270.5	-0.014
271.0	-0.014
271.5	-0.014
272.0	-0.015
272.5	-0.015
273.0	-0.015
273.5	-0.015
274.0	-0.015
274.5	-0.015
275.0	-0.015
275.5	-0.015
276.0	-0.013
276.5	-0.012
277.0	-0.010
277.5	-0.010
278.0	-0.009
278.5	-0.010
279.0	-0.009
279.5	-0.007
280.0	-0.008
280.5	-0.007
281.0	-0.005
281.5	-0.006
282.0	-0.005
282.5	-0.005
283.0	-0.005
283.5	-0.006
284.0	-0.005
284.5	-0.005
285.0	-0.006
285.5	-0.005
286.0	-0.004
286.5	-0.005
287.0	-0.006
287.5	-0.007
288.0	-0.007
288.5	-0.009
289.0	-0.008
289.5	-0.009
290.0	-0.008
290.5	-0.008
291.0	-0.009
291.5	-0.010
292.0	-0.010
292.5	-0.010
293.0	-0.011
293.5	-0.012
294.0	-0.011
294.5	-0.011
295.0	-0.012
295.5	-0.012
296.0	-0.013
296.5	-0.012
297.0	-0.012
297.5	-0.011
298.0	-0.013
298.5	-0.013
299.0	-0.013
299.5	-0.014
300.0	-0.014
300.5	-0.014
301.0	-0.015
301.5	-0.015
302.0	-0.016
302.5	-0.014
303.0	-0.016
303.5	-0.014
304.0	-0.015
304.5	-0.015
305.0	-0.017
305.5	-0.016
306.0	-0.014
306.5	-0.013
307.0	-0.013
307.5	-0.012
308.0	-0.011
308.5	-0.010
309.0	-0.010
309.5	-0.008
310.0	-0.010
310.5	-0.009
311.0	-0.009
311.5	-0.008
312.0	-0.008
312.5	-0.007
313.0	-0.007
313.5	-0.008
314.0	-0.009
314.5	-0.010
315.0	-0.010
315.5	-0.010
316.0	-0.010
316.5	-0.009
317.0	-0.010
317.5	-0.009
318.0	-0.008
318.5	-0.008
319.0	-0.009
319.5	-0.009
320.0	-0.009
320.5	-0.009
321.0	-0.010
321.5	-0.008
322.0	-0.008
322.5	-0.008
323.0	-0.010
323.5	-0.010
324.0	-0.012
324.5	-0.011
325.0	-0.010
325.5	-0.011
326.0	-0.010
326.5	-0.010
327.0	-0.008
327.5	-0.008
328.0	-0.008
328.5	-0.008
329.0	-0.008
329.5	-0.007
330.0	-0.006
330.5	-0.005
331.0	-0.003
331.5	-0.002
332.0	-0.002
332.5	-0.003
333.0	-0.003
333.5	-0.003
334.0	-0.002
334.5	-0.002
335.0	0.000
335.5	0.000
336.0	0.001
336.5	0.001
337.0	0.001
337.5	0.002
338.0	0.001
338.5	-0.001
339.0	0.000
339.5	0.001
340.0	0.000
340.5	0.000
341.0	-0.001
341.5	-0.003
342.0	-0.005
342.5	-0.005
343.0	-0.005
343.5	-0.006
344.0	-0.005
344.5	-0.004
345.0	-0.005
345.5	-0.004
346.0	-0.002
346.5	-0.002
347.0	-0.003
347.5	-0.002
348.0	0.000
348.5	0.001
349.0	0.003
349.5	0.005
350.0	0.004

