5/28/2024 12:45 PM
Wavelength (nm)	10mm Absorbance
222.0	0.017
222.5	0.018
223.0	0.016
223.5	0.016
224.0	0.018
224.5	0.019
225.0	0.020
225.5	0.025
226.0	0.027
226.5	0.028
227.0	0.031
227.5	0.031
228.0	0.031
228.5	0.031
229.0	0.031
229.5	0.032
230.0	0.032
230.5	0.032
231.0	0.032
231.5	0.033
232.0	0.032
232.5	0.031
233.0	0.028
233.5	0.026
234.0	0.024
234.5	0.023
235.0	0.022
235.5	0.022
236.0	0.020
236.5	0.017
237.0	0.015
237.5	0.015
238.0	0.015
238.5	0.017
239.0	0.016
239.5	0.017
240.0	0.018
240.5	0.018
241.0	0.016
241.5	0.017
242.0	0.017
242.5	0.016
243.0	0.018
243.5	0.018
244.0	0.020
244.5	0.022
245.0	0.023
245.5	0.024
246.0	0.023
246.5	0.023
247.0	0.023
247.5	0.023
248.0	0.023
248.5	0.023
249.0	0.024
249.5	0.023
250.0	0.024
250.5	0.023
251.0	0.023
251.5	0.021
252.0	0.019
252.5	0.016
253.0	0.013
253.5	0.011
254.0	0.011
254.5	0.010
255.0	0.009
255.5	0.010
256.0	0.012
256.5	0.013
257.0	0.015
257.5	0.016
258.0	0.014
258.5	0.014
259.0	0.014
259.5	0.014
260.0	0.015
260.5	0.016
261.0	0.017
261.5	0.016
262.0	0.017
262.5	0.018
263.0	0.017
263.5	0.015
264.0	0.013
264.5	0.011
265.0	0.008
265.5	0.008
266.0	0.009
266.5	0.009
267.0	0.008
267.5	0.008
268.0	0.007
268.5	0.008
269.0	0.008
269.5	0.008
270.0	0.007
270.5	0.007
271.0	0.007
271.5	0.007
272.0	0.006
272.5	0.009
273.0	0.008
273.5	0.008
274.0	0.008
274.5	0.008
275.0	0.009
275.5	0.009
276.0	0.009
276.5	0.009
277.0	0.010
277.5	0.012
278.0	0.013
278.5	0.012
279.0	0.012
279.5	0.015
280.0	0.014
280.5	0.015
281.0	0.016
281.5	0.016
282.0	0.016
282.5	0.015
283.0	0.015
283.5	0.015
284.0	0.015
284.5	0.014
285.0	0.014
285.5	0.014
286.0	0.013
286.5	0.012
287.0	0.009
287.5	0.008
288.0	0.008
288.5	0.006
289.0	0.006
289.5	0.006
290.0	0.006
290.5	0.007
291.0	0.006
291.5	0.007
292.0	0.007
292.5	0.007
293.0	0.005
293.5	0.005
294.0	0.006
294.5	0.006
295.0	0.006
295.5	0.005
296.0	0.005
296.5	0.005
297.0	0.004
297.5	0.003
298.0	0.004
298.5	0.004
299.0	0.003
299.5	0.003
300.0	0.002
300.5	0.001
301.0	0.001
301.5	-0.001
302.0	-0.001
302.5	-0.002
303.0	-0.001
303.5	0.000
304.0	0.001
304.5	0.001
305.0	0.002
305.5	0.001
306.0	0.002
306.5	0.001
307.0	0.001
307.5	0.001
308.0	0.002
308.5	0.003
309.0	0.005
309.5	0.006
310.0	0.006
310.5	0.004
311.0	0.003
311.5	0.002
312.0	0.002
312.5	0.001
313.0	0.001
313.5	-0.001
314.0	0.000
314.5	0.000
315.0	-0.001
315.5	-0.002
316.0	-0.002
316.5	-0.002
317.0	-0.003
317.5	-0.002
318.0	0.000
318.5	0.001
319.0	0.001
319.5	0.001
320.0	0.002
320.5	0.001
321.0	0.002
321.5	0.003
322.0	0.002
322.5	0.003
323.0	0.002
323.5	0.003
324.0	0.001
324.5	0.001
325.0	-0.001
325.5	-0.002
326.0	-0.002
326.5	-0.001
327.0	-0.001
327.5	-0.001
328.0	-0.002
328.5	-0.002
329.0	-0.002
329.5	-0.001
330.0	-0.002
330.5	0.000
331.0	0.001
331.5	0.005
332.0	0.005
332.5	0.006
333.0	0.008
333.5	0.007
334.0	0.007
334.5	0.006
335.0	0.007
335.5	0.007
336.0	0.008
336.5	0.008
337.0	0.007
337.5	0.007
338.0	0.003
338.5	0.002
339.0	0.000
339.5	0.000
340.0	0.000
340.5	-0.002
341.0	0.000
341.5	-0.001
342.0	-0.001
342.5	0.001
343.0	0.000
343.5	0.000
344.0	0.001
344.5	0.000
345.0	0.001
345.5	0.004
346.0	0.003
346.5	0.003
347.0	0.003
347.5	0.005
348.0	0.005
348.5	0.005
349.0	0.005
349.5	0.007
350.0	0.007

